"fips","State","County","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020-2050"
"1001","AL","Autauga County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1009","AL","Blount County",0,0,0,0,0,0,0,0,0,0,0,0,858526.275621693,0,0,0,0,0,0,0,0,0
"1015","AL","Calhoun County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1019","AL","Cherokee County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1023","AL","Choctaw County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1025","AL","Clarke County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1033","AL","Colbert County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1043","AL","Cullman County",0,0,0,0,0,0,0,0,0,0,0,0,7364620.29,0,0,0,0,0,0,0,0,0
"1049","AL","DeKalb County",0,0,0,0,0,0,0,0,0,0,0,0,2301994.10812169,0,0,0,0,0,0,0,0,0
"1051","AL","Elmore County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1055","AL","Etowah County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1059","AL","Franklin County",0,0,0,0,0,0,0,0,0,0,0,0,4672680.64740741,0,0,0,0,0,0,0,0,0
"1063","AL","Greene County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1065","AL","Hale County",0,0,0,0,0,0,0,0,0,0,0,0,623830.275621693,0,0,0,0,0,0,0,0,0
"1071","AL","Jackson County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1073","AL","Jefferson County",0,0,0,0,0,0,0,0,0,0,0,0,43882820.5981217,0,0,0,0,0,0,0,0,0
"1079","AL","Lawrence County",0,0,0,0,0,0,0,0,0,0,0,0,1068434.27562169,0,0,0,0,0,0,0,0,0
"1083","AL","Limestone County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1089","AL","Madison County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1091","AL","Marengo County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1093","AL","Marion County",0,0,0,0,0,0,0,0,0,0,0,0,11710035.4381217,0,0,0,0,0,0,0,0,0
"1095","AL","Marshall County",0,0,0,0,0,0,0,0,0,0,0,0,491467.275621693,0,0,0,0,0,0,0,0,0
"1101","AL","Montgomery County",0,0,0,0,0,0,0,0,0,0,0,0,3692748,0,0,0,0,0,0,0,0,0
"1103","AL","Morgan County",0,0,0,0,0,0,0,0,0,0,0,0,1238147.36,0,0,0,0,0,0,0,0,0
"1105","AL","Perry County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1107","AL","Pickens County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1115","AL","St. Clair County",0,0,0,0,0,0,0,0,0,0,0,0,1098.78821428571,0,0,0,0,0,0,0,0,0
"1117","AL","Shelby County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1119","AL","Sumter County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1121","AL","Talladega County",0,0,0,0,0,0,0,0,0,0,0,0,99954.2756216931,0,0,0,0,0,0,0,0,0
"1125","AL","Tuscaloosa County",0,0,0,0,0,0,0,0,0,0,0,0,233175599.230714,0,0,0,0,0,0,0,0,0
"1127","AL","Walker County",0,0,0,0,0,0,0,0,0,0,0,0,5198469.27562169,0,0,0,0,0,0,0,0,0
"1133","AL","Winston County",0,0,0,0,0,0,0,0,0,0,0,0,912200.07,0,0,0,0,0,0,0,0,0
"12001","FL","Alachua County",0,0,0,0,0,0,0,0,0,441601.73,0,0,0,0,0,0,0,0,0,0,0,0
"12003","FL","Baker County",0,0,0,0,0,0,0,0,0,395778,0,0,0,0,0,0,0,0,0,0,0,0
"12005","FL","Bay County",0,0,0,0,0,0,0,0,0,1648802.4,0,0,0,0,0,0,0,0,0,0,0,0
"12009","FL","Brevard County",0,0,0,0,0,0,1328303.25,0,0,8413499.48,0,0,0,0,0,0,0,0,0,0,0,0
"12011","FL","Broward County",0,0,0,0,0,0,43493281.78,0,0,647577,0,0,0,0,0,0,0,0,0,0,0,0
"12013","FL","Calhoun County",0,0,0,0,0,0,0,0,0,682088.62,0,0,0,0,0,0,0,0,0,0,0,0
"12019","FL","Clay County",0,0,0,0,0,0,0,0,0,297039.87,0,0,0,0,0,0,0,0,0,0,0,0
"12021","FL","Collier County",0,0,0,0,0,0,4667647.82,0,0,11257294.79,0,0,0,0,0,0,0,0,0,0,0,0
"12033","FL","Escambia County",0,0,0,0,0,0,0,0,0,9210147.74,0,0,0,0,0,0,0,0,0,0,0,0
"12035","FL","Flagler County",0,0,0,0,0,0,0,0,0,1148021.67,0,0,0,0,0,0,0,0,0,0,0,0
"12037","FL","Franklin County",0,0,0,0,0,0,0,0,0,417633.1,0,0,0,0,0,0,0,0,0,0,0,0
"12039","FL","Gadsden County",0,0,0,0,0,0,0,0,0,342231.13,0,0,0,0,0,0,0,0,0,0,0,0
"12043","FL","Glades County",0,0,0,0,0,0,1446562.52,0,0,274022.87,0,0,0,0,0,0,0,0,0,0,0,0
"12045","FL","Gulf County",0,0,0,0,0,0,0,0,0,3321215.51,0,0,0,0,0,0,0,0,0,0,0,0
"12049","FL","Hardee County",0,0,0,0,0,0,0,0,0,851167.3,0,0,0,0,0,0,0,0,0,0,0,0
"12051","FL","Hendry County",0,0,0,0,0,0,7197940.5,0,0,383616.03,0,0,0,0,0,0,0,0,0,0,0,0
"12055","FL","Highlands County",0,0,0,0,0,0,0,0,0,258395.16,0,0,0,0,0,0,0,0,0,0,0,0
"12061","FL","Indian River County",0,0,0,0,0,0,176828.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12063","FL","Jackson County",0,0,0,0,0,0,0,0,0,7488080.84,0,0,0,0,0,0,0,0,0,0,0,0
"12065","FL","Jefferson County",0,0,0,0,0,0,0,0,0,192183.22,0,0,0,0,0,0,0,0,0,0,0,0
"12069","FL","Lake County",0,0,0,0,0,0,554680.57,0,0,403293,0,0,0,0,0,0,0,0,0,0,0,0
"12071","FL","Lee County",0,0,0,0,0,0,2375332.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12073","FL","Leon County",0,0,0,0,0,0,1042480.89,0,0,13040062.16,0,0,0,0,0,0,0,0,0,0,0,0
"12085","FL","Martin County",0,0,0,0,0,0,2787289.29,0,0,747329,0,0,0,0,0,0,0,0,0,0,0,0
"12086","FL","Miami-Dade County",0,0,0,0,0,0,41108580.46,0,0,634548.91,0,0,0,0,0,0,0,0,0,0,0,0
"12087","FL","Monroe County",0,0,0,0,0,0,23252970.92,0,0,3133719.43,0,0,0,0,0,0,0,0,0,0,0,0
"12089","FL","Nassau County",0,0,0,0,0,0,0,0,0,909497.21,0,0,0,0,0,0,0,0,0,0,0,0
"12091","FL","Okaloosa County",0,0,0,0,0,0,0,0,0,927269.3,0,0,0,0,0,0,0,0,0,0,0,0
"12093","FL","Okeechobee County",0,0,0,0,0,0,1880866.19,0,0,620666.15,0,0,0,0,0,0,0,0,0,0,0,0
"12097","FL","Osceola County",0,0,0,0,0,0,0,0,0,254484.27,0,0,0,0,0,0,0,0,0,0,0,0
"12099","FL","Palm Beach County",0,0,0,0,0,0,36300082.27,0,0,8427874.26,0,0,0,0,0,0,0,0,0,0,0,0
"12107","FL","Putnam County",0,0,0,0,0,0,0,0,0,1567459.63,0,0,0,0,0,0,0,0,0,0,0,0
"12109","FL","St. Johns County",0,0,0,0,0,0,0,0,0,1760963.5,0,0,0,0,0,0,0,0,0,0,0,0
"12111","FL","St. Lucie County",0,0,0,0,0,0,6542995.6,0,0,10492482.42,0,0,0,0,0,0,0,0,0,0,0,0
"12113","FL","Santa Rosa County",0,0,0,0,0,0,0,0,0,781442.55,0,0,0,0,0,0,0,0,0,0,0,0
"12115","FL","Sarasota County",0,0,0,0,0,0,195040,0,0,2903407.54,0,0,0,0,0,0,0,0,0,0,0,0
"12117","FL","Seminole County",0,0,0,0,0,0,0,0,0,177949.63,0,0,0,0,0,0,0,0,0,0,0,0
"12127","FL","Volusia County",0,0,0,0,0,0,0,0,0,4594279.46,0,0,0,0,0,0,0,0,0,0,0,0
"12129","FL","Wakulla County",0,0,0,0,0,0,0,0,0,450153.19,0,0,0,0,0,0,0,0,0,0,0,0
"13015","GA","Bartow County",0,0,0,0,0,0,0,0,0,745897,0,0,0,0,0,0,0,0,0,0,0,0
"13121","GA","Fulton County",0,0,0,0,0,0,0,0,0,715741.81,0,0,0,0,0,0,0,0,0,0,0,0
"13127","GA","Glynn County",0,0,0,0,0,0,0,0,0,220000,0,0,0,0,0,0,0,0,0,0,0,0
"13191","GA","McIntosh County",0,0,0,0,0,0,0,0,0,1289257.15,0,0,0,0,0,0,0,0,0,0,0,0
"13193","GA","Macon County",0,0,0,0,0,0,0,0,0,1482846.86,0,0,0,0,0,0,0,0,0,0,0,0
"17001","IL","Adams County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17011","IL","Bureau County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17013","IL","Calhoun County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17015","IL","Carroll County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17017","IL","Cass County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,365134,0,0,0,0,0,0,0
"17023","IL","Clark County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17025","IL","Clay County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17029","IL","Coles County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17031","IL","Cook County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,120129789.1,0,0,0,0,0,0,0
"17033","IL","Crawford County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17035","IL","Cumberland County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17037","IL","DeKalb County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17041","IL","Douglas County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17043","IL","DuPage County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31526000,0,0,0,0,0,0,0
"17045","IL","Edgar County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17053","IL","Ford County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17057","IL","Fulton County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790000,0,0,0,0,0,0,0
"17061","IL","Greene County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17063","IL","Grundy County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17067","IL","Hancock County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17071","IL","Henderson County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17075","IL","Iroquois County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17077","IL","Jackson County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0
"17079","IL","Jasper County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17081","IL","Jefferson County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17083","IL","Jersey County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17089","IL","Kane County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17093","IL","Kendall County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17097","IL","Lake County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17099","IL","LaSalle County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17101","IL","Lawrence County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17105","IL","Livingston County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17109","IL","McDonough County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828993,0,0,0,0,0,0,0
"17117","IL","Macoupin County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17119","IL","Madison County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17123","IL","Marshall County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17131","IL","Mercer County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17133","IL","Monroe County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17135","IL","Montgomery County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17141","IL","Ogle County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17143","IL","Peoria County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17149","IL","Pike County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17155","IL","Putnam County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17157","IL","Randolph County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17161","IL","Rock Island County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17163","IL","St. Clair County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17167","IL","Sangamon County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,520000,0,0,0,0,0,0,0
"17171","IL","Scott County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17173","IL","Shelby County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e+05,0,0,0,0,0,0,0
"17183","IL","Vermilion County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17193","IL","White County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,408684,0,0,0,0,0,0,0
"17195","IL","Whiteside County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17197","IL","Will County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3038110.71,0,0,0,0,0,0,0
"17199","IL","Williamson County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,594500,0,0,0,0,0,0,0
"17201","IL","Winnebago County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17203","IL","Woodford County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18001","IN","Adams County",0,0,0,0,0,0,0,0,0,953081.16,0,0,0,0,0,0,0,0,0,0,0,0
"18003","IN","Allen County",0,0,0,0,0,0,0,0,0,188975,0,0,0,0,0,0,0,0,0,0,0,0
"18005","IN","Bartholomew County",0,0,0,0,0,0,0,0,0,20029494.98,0,0,0,0,0,0,0,0,0,0,0,0
"18007","IN","Benton County",0,0,0,0,0,0,0,0,0,2037795,0,0,0,0,0,0,0,0,0,0,0,0
"18013","IN","Brown County",0,0,0,0,0,0,0,0,0,6941657.37,0,0,0,0,0,0,0,0,0,0,0,0
"18015","IN","Carroll County",0,0,0,0,0,0,0,0,0,5957303.8,0,0,0,0,0,0,0,0,0,0,0,0
"18017","IN","Cass County",0,0,0,0,0,0,0,0,0,685488.33,0,0,0,0,0,0,0,0,0,0,0,0
"18019","IN","Clark County",0,0,0,0,0,0,0,0,0,2306366.15,0,0,0,0,0,0,0,0,0,0,0,0
"18021","IN","Clay County",0,0,0,0,0,0,0,0,0,5238962.68,0,0,0,0,0,0,0,0,0,0,0,0
"18023","IN","Clinton County",0,0,0,0,0,0,0,0,0,928011.91,0,0,0,0,0,0,0,0,0,0,0,0
"18025","IN","Crawford County",0,0,0,0,0,0,0,0,0,4050875.96,0,0,0,0,0,0,0,0,0,0,0,0
"18027","IN","Daviess County",0,0,0,0,0,0,0,0,0,1854904.25,0,0,0,0,0,0,0,0,0,0,0,0
"18029","IN","Dearborn County",0,0,0,0,0,0,0,0,0,4352480.384,0,0,0,0,0,0,0,0,0,0,0,0
"18031","IN","Decatur County",0,0,0,0,0,0,0,0,0,5871464.54,0,0,0,0,0,0,0,0,0,0,0,0
"18033","IN","DeKalb County",0,0,0,0,0,0,0,0,0,321876.41,0,0,0,0,0,0,0,0,0,0,0,0
"18035","IN","Delaware County",0,0,0,0,0,0,0,0,0,1675722.4,0,0,0,0,0,0,0,0,0,0,0,0
"18037","IN","Dubois County",0,0,0,0,0,0,0,0,0,1303009.92666667,0,0,0,0,0,0,0,0,0,0,0,0
"18039","IN","Elkhart County",0,0,0,0,0,0,0,0,0,3539611.05,0,0,0,0,0,0,0,0,0,0,0,0
"18041","IN","Fayette County",0,0,0,0,0,0,0,0,0,1275473.324,0,0,0,0,0,0,0,0,0,0,0,0
"18043","IN","Floyd County",0,0,0,0,0,0,0,0,0,3339311.5,0,0,0,0,0,0,0,0,0,0,0,0
"18045","IN","Fountain County",0,0,0,0,0,0,0,0,0,3003502.16,0,0,0,0,0,0,0,0,0,0,0,0
"18047","IN","Franklin County",0,0,0,0,0,0,0,0,0,5183121.786,0,0,0,0,0,0,0,0,0,0,0,0
"18049","IN","Fulton County",0,0,0,0,0,0,0,0,0,2727278.48,0,0,0,0,0,0,0,0,0,0,0,0
"18051","IN","Gibson County",0,0,0,0,0,0,0,0,0,13177101.91,0,0,0,0,0,0,0,0,0,0,0,0
"18053","IN","Grant County",0,0,0,0,0,0,0,0,0,3520429.56,0,0,0,0,0,0,0,0,0,0,0,0
"18055","IN","Greene County",0,0,0,0,0,0,0,0,0,3339507.23,0,0,0,0,0,0,0,0,0,0,0,0
"18057","IN","Hamilton County",0,0,0,0,0,0,0,0,0,1340000,0,0,0,0,0,0,0,0,0,0,0,0
"18059","IN","Hancock County",0,0,0,0,0,0,0,0,0,4546.804,0,0,0,0,0,0,0,0,0,0,0,0
"18061","IN","Harrison County",0,0,0,0,0,0,0,0,0,1516974.7,0,0,0,0,0,0,0,0,0,0,0,0
"18063","IN","Hendricks County",0,0,0,0,0,0,0,0,0,3565480.19,0,0,0,0,0,0,0,0,0,0,0,0
"18065","IN","Henry County",0,0,0,0,0,0,0,0,0,1788281.004,0,0,0,0,0,0,0,0,0,0,0,0
"18069","IN","Huntington County",0,0,0,0,0,0,0,0,0,639213,0,0,0,0,0,0,0,0,0,0,0,0
"18071","IN","Jackson County",0,0,0,0,0,0,0,0,0,2507768.06,0,0,0,0,0,0,0,0,0,0,0,0
"18073","IN","Jasper County",0,0,0,0,0,0,0,0,0,3644734.77,0,0,0,0,0,0,0,0,0,0,0,0
