"fips","State","County","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020-2050"
"1001","AL","Autauga County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1009","AL","Blount County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,35265.8269006079,443015.389806191,419762.541285759,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1015","AL","Calhoun County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1019","AL","Cherokee County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1023","AL","Choctaw County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1025","AL","Clarke County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1033","AL","Colbert County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1043","AL","Cullman County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,169313.262301274,4119956.04933101,3894205.03292931,0,0,0,0,0
"1049","AL","DeKalb County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,343913.441364426,738015.145354243,717411.889051242,362005.717824464,269411.859600226,127189.12986999,0,0
"1051","AL","Elmore County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1055","AL","Etowah County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1059","AL","Franklin County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,623085.817445985,1833348.84603549,1765623.39419299,597359.349909984,354381.512108346,18425.6204250751,0,0
"1063","AL","Greene County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1065","AL","Hale County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29870.145406612,311720.47345229,295661.866923852,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1071","AL","Jackson County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1073","AL","Jefferson County",0,0,0,0,0,0,0,0,0,0,0,0,0,135798.095805162,1216399.2870559,4199242.30163755,4743038.13962882,6939548.90929629,9571743.55413858,7988593.12153853,5323932.13908154,7423914.78198656
"1079","AL","Lawrence County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,119433.776482302,442475.787742022,424283.578512171,110467.969297254,71931.6099040832,18638.1384600469,0,0
"1083","AL","Limestone County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1089","AL","Madison County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1091","AL","Marengo County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1093","AL","Marion County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1455483.62430012,4669995.07956167,4490710.32545761,1398048.31716261,870619.061405936,127189.12986999,0,0
"1095","AL","Marshall County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,271467.327755,179267.357777006,0,0
"1101","AL","Montgomery County",0,0,0,0,0,0,0,0,0,0,0,0,351554.902183542,517847.343658252,517847.343658252,544106.87944967,619546.735741028,327568.242665016,425076.571532232,430787.959238931,333240.018802244,104657.678687881
"1103","AL","Morgan County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,212494.862961149,232695.666926505,232695.666926505,232695.666926505,232695.666926505,232536.395422791,0,0
"1105","AL","Perry County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1107","AL","Pickens County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1115","AL","St. Clair County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.787362951648,212.663595269703,212.663595269703,212.663595269703,212.663595269703,212.518034971777,0,0
